0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.4186972256870515,-0.477383578038742,-0.5611383226746686,0.2166474306508146,-0.2046512024413927,-0.7663701014481427,-0.880271069664329,-0.3233461070228523,-0.7146134354778602,-0.3867103913240318,-0.3935347261962693,-0.4992100024946507,-0.3641550863025948,-0.2043787637506329,-0.5638799610943754
-0.4289655545297973,-0.5016033864853775,-0.5840451444838283,0.1896935828829313,-0.2166618009712279,-0.7791428303204598,-0.8939253635828963,-0.3543294805285562,-0.7131794715138711,-0.4177992832852059,-0.3979506971272032,-0.4977844399478964,-0.3934798530746614,-0.2353550665485297,-0.5831951143135139
-0.4473516481553778,-0.5304461097730526,-0.5993920165550667,0.1602251630168433,-0.2439346021565588,-0.7941340477547325,-0.911141715727238,-0.4079879159942569,-0.7328017472912984,-0.4507470415625711,-0.4192056756171544,-0.511347636335687,-0.4097815346815682,-0.2640880163267511,-0.5976664979534971
-0.4554431822423347,-0.5443647271586742,-0.6095868390603505,0.1426246313303537,-0.2598210613031994,-0.7994065173548514,-0.9211058908150428,-0.4364041036968748,-0.7491339599127844,-0.4705390244727854,-0.4311486636322758,-0.5214747428256434,-0.4196980396778204,-0.2801738689293332,-0.6078639309697949
-0.4556066614573669,-0.5583332752415814,-0.6185735483999577,0.1260137124595277,-0.2758625912932678,-0.8073292285781882,-0.9218266803456572,-0.4467465816952841,-0.7596859754746931,-0.4845458687172301,-0.4447694486224816,-0.5329675985588349,-0.4293227823988398,-0.2892712203066195,-0.6134551409144686
-0.4599258410107912,-0.5713813790884232,-0.630113223837791,0.1046632803938287,-0.2957294661724107,-0.8146522188440445,-0.921190374339378,-0.4652731474130158,-0.7779776642364051,-0.5021567339167123,-0.4635319819161042,-0.5422566229922886,-0.4393775791972346,-0.3021818767568217,-0.621542533918344
-0.4639891153222691,-0.5805065991118276,-0.634516547242687,0.0954583259308545,-0.3045950052037153,-0.8188510216026199,-0.9230686894184272,-0.4783202088711202,-0.7846532853887191,-0.511838199210274,-0.4724377205677183,-0.5463462125874978,-0.4444382286875364,-0.3110066976937325,-0.6239160938484297
-0.4679752684359348,-0.5889493247165082,-0.6401465634724776,0.0820577586173427,-0.3176582516696359,-0.824714487427255,-0.9237483262179176,-0.4888685661468103,-0.7952144792797806,-0.5194335055893651,-0.4850724185747737,-0.5536576936185729,-0.4475143514277601,-0.3214762399431547,-0.6252162724093048
-0.471071110440467,-0.5960444228394952,-0.6408498556271611,0.0796580143018747,-0.3201643125392363,-0.8261220369143072,-0.9255770693497476,-0.4962052063270995,-0.7960718419499707,-0.5288379282216288,-0.4882280744547919,-0.5530174413669883,-0.4517035484791519,-0.3263704224545543,-0.6253661505212273
-0.4732662805442726,-0.5998973129064052,-0.6419139722418254,0.075337306121494,-0.3246798552397333,-0.8282200161372929,-0.9259278873112338,-0.4991897105111551,-0.7991229425328193,-0.5327204246950921,-0.4928818775558859,-0.5550636641181284,-0.4543439210317641,-0.3305967740386495,-0.6240930406759787
-0.4741534117611857,-0.6045629888009809,-0.6547704910128676,0.0523200537329684,-0.3453281854401315,-0.8386480932049067,-0.9252083893204078,-0.5142979399413637,-0.8185812375806819,-0.5476096991569631,-0.5102635104945595,-0.5690576065822521,-0.4646773590288037,-0.344531350984458,-0.6348225729395589
-0.4705551612173566,-0.6061726111246045,-0.6588819160287486,0.0477261346263902,-0.3523000089841223,-0.8428305226722547,-0.923080705886138,-0.5194988201001057,-0.8266587993577718,-0.5513343598497373,-0.5171734115658964,-0.5745586391195981,-0.4666104914166152,-0.3460650186284542,-0.6417906123549371
-0.47423415901909,-0.6103288541565944,-0.6607767645302804,0.0401396762522762,-0.3580054022873867,-0.8460391850547404,-0.9259454248857,-0.5248038874325791,-0.8298640505283157,-0.5569581765218123,-0.5227491954689258,-0.5761420091734454,-0.4717497832099895,-0.3534467501336703,-0.6388671235011965
-0.4761469375657604,-0.612788198737572,-0.6632915294096733,0.0371265665035838,-0.3588321150618298,-0.8478746729392629,-0.9272794199180924,-0.5295957097242485,-0.8303632207326823,-0.5610986250023233,-0.5224816146701187,-0.5758075177135995,-0.476480901119174,-0.3563253651425211,-0.6414051551210889
-0.477161940880941,-0.6169881182587609,-0.6665261285773099,0.030714279494562,-0.3646620539131712,-0.8522848361755699,-0.929987298098484,-0.5357716683829457,-0.8352856160441997,-0.5667032813144125,-0.5283212601248987,-0.5783035676011529,-0.4813613704857725,-0.3614690635079265,-0.6432685308326304
-0.4756804902281776,-0.618210852630472,-0.6682874766219796,0.0282664690221276,-0.3683753044911897,-0.8552187405077779,-0.9311437108658932,-0.5380444366818978,-0.8392379984182575,-0.5684018185751851,-0.5323386937170371,-0.5806980715193288,-0.4822320277001057,-0.362580846741155,-0.6456014899588223
-0.480965742108271,-0.6261758273162074,-0.6697325043152562,0.0259235259874216,-0.3691144614760638,-0.8562667139027461,-0.932451069823103,-0.5451157963412506,-0.8381037340629117,-0.5765749009122633,-0.5325248058908177,-0.5788396894226808,-0.4900902674431194,-0.3674835538674824,-0.6455536979368242
-0.4850191438234487,-0.6343218966107369,-0.6727756041212742,0.0219213658175612,-0.3725734265906063,-0.8604415199982676,-0.9347061997717588,-0.5570088834977185,-0.8403204820589748,-0.590813176466485,-0.5357934540994936,-0.5805145603690807,-0.4970408351144535,-0.3730431593614785,-0.650028317190901
-0.4892631615417681,-0.6379161495477801,-0.6735299824602243,0.0177334338511081,-0.3772269025532459,-0.8624335503559764,-0.938818603979066,-0.563464908221203,-0.8429058953401135,-0.5980297690908312,-0.541372614103157,-0.5814475785815801,-0.4991884808504804,-0.3796989248236241,-0.6486817811919919
