0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
-0.4186972256870515,-0.477383578038742,-0.5611383226746686,0.2166474306508146,-0.2046512024413927,-0.7663701014481427,-0.880271069664329,-0.3233461070228523,-0.7146134354778602,-0.3867103913240318,-0.3935347261962693,-0.4992100024946507,-0.3641550863025948,-0.2043787637506329,-0.5638799610943754,-0.4201330503210247,-0.399340729240676
-0.3525543146215887,-0.3603128163336687,-0.6985616186523131,0.3449576037457698,-0.3429185830799889,-0.7687104890253174,-0.8525454973551254,-0.5547652626995926,-0.7728194288979653,-0.6333142849473503,-0.3386184547555216,-0.1623110398101594,-0.3927279442886265,-0.3026497384193924,-0.6941485047961697,-0.4738327276964348,-0.5577784356274635
-0.1664365782107271,-0.6359673866367828,-0.6007375208389834,0.5907204908351045,-0.0063087526808086,-0.500363688604267,-0.9189687473658856,-0.6453035933852284,-0.7042481013701118,-0.6662826808257447,-0.1139950826328878,0.1637423183591928,-0.1383275672940966,-0.2850594925350626,-0.6575330882449206,-0.4605592892535186,-0.4640463686129027
-0.1568021113188059,-0.7688452603335609,-0.5290284621280722,0.2067241868251116,-0.2523249616740971,-0.5605715472979378,-0.9610229808192996,-0.6704619843013335,-0.8131828846237447,-0.7261365335309576,-0.5410425058546438,-0.2762792725653994,-0.408788036635883,-0.4182252873700078,-0.7140934958227072,-0.3964085330987269,-0.45623837495844455
-0.1481504950061603,-0.7903682677953479,-0.6857670757885056,-0.0530476180245635,-0.4276862539235019,-0.8661510407400386,-0.990643039616492,-0.6952873316526003,-0.951467020262354,-0.7349662930638672,-0.6504033240595932,-0.5736399245483802,-0.5666079062394982,-0.4766648113596684,-0.7764222319244176,-0.475218739700545,-0.5785114140812819
-0.2368356891833257,-0.796664334128274,-0.7541141368370645,-0.1131735236913903,-0.4799203534735287,-0.9607269301791664,-1.0023466507403511,-0.6978590858347442,-0.9578301688274948,-0.7190158311836637,-0.6776989823772396,-0.632045253483694,-0.6289704137074094,-0.5006906791576562,-0.811468569479786,-0.5322970811294641,-0.6784576843834993
-0.3066207399969373,-0.7901958291674311,-0.7744467396610484,-0.1283829962710616,-0.4995225039754508,-0.9900685467777456,-1.008780225471996,-0.6990040930551353,-0.9602332974591408,-0.7019113380129859,-0.688583415341749,-0.6529037697923122,-0.6482136220688597,-0.5095881558211623,-0.8356614915595821,-0.5380624422993943,-0.723732207957138
-0.3441654795388866,-0.7836459926050214,-0.7786467414931807,-0.137221022049977,-0.5089688091610188,-1.0047453333836232,-1.0123515501896416,-0.7015179102370738,-0.9606003193327236,-0.6907082813717673,-0.692681817479674,-0.662530432112784,-0.653348072042756,-0.5154868155446551,-0.848615354996651,-0.5421844317013063,-0.7283313294271136
-0.3653122736154711,-0.7781196136434383,-0.7821809829310805,-0.1428299934696709,-0.5145404139919341,-1.0153968459169502,-1.014274392285261,-0.7036625550612519,-0.9649482391849882,-0.6893566605432004,-0.6966480421574176,-0.6670743277042409,-0.6545486950354735,-0.5187501897149677,-0.85681586066857,-0.5446916975175106,-0.7309406201997366
-0.3853513103965035,-0.7733483239202599,-0.7842941239697542,-0.1479903906145772,-0.5181341070962973,-1.020728235000531,-1.0153239909626008,-0.7059964888233236,-0.9685577176104724,-0.6884380304245435,-0.6970592494091736,-0.6680456395650769,-0.6558694906930873,-0.5207750884080233,-0.8604600331908477,-0.5470465804535889,-0.7335374753019008
-0.4084290580925424,-0.7696677983975801,-0.7856488613456333,-0.1512054858327309,-0.5205590802530932,-1.0250013934737896,-1.015841588747278,-0.7126107227777662,-0.970594886952443,-0.6878292838754959,-0.6970376829726553,-0.6700441488975464,-0.6564214076715461,-0.5223051678225525,-0.8626615206695056,-0.5496834328014959,-0.7355862670860545
-0.4314966421753712,-0.7778168294626127,-0.786665412501107,-0.1511949720230255,-0.5222147703061385,-1.027865708327653,-1.0163019696926237,-0.7173909286866624,-0.970448848860246,-0.6874003714592913,-0.6978619540183735,-0.6716113712066648,-0.6566375828221144,-0.5238032295963829,-0.8606476592291781,-0.5524897419008844,-0.7372909213810619
-0.4606208617216012,-0.7834147594672809,-0.7874217609675769,-0.1513279740183462,-0.522874394366988,-1.029421675544864,-1.016349824302378,-0.7225567293136895,-0.9702256454587972,-0.6868746015336662,-0.6986366143149745,-0.6721171579166716,-0.6567281717074608,-0.5248677490064246,-0.853966241829583,-0.5525046819896425,-0.7385159025289997
-0.4837060462982651,-0.7923896466444278,-0.7879968158596818,-0.1513416687280497,-0.5237935995180666,-1.0290751717046729,-1.0156409535186155,-0.7263424748031803,-0.9699349931430116,-0.6857314200903647,-0.6997307490645559,-0.6731311803334481,-0.656767520777554,-0.5255965353372928,-0.8475904524125584,-0.552852384157504,-0.7393802470694297
-0.4995523332988554,-0.7989235573470982,-0.788428715070695,-0.1525771026231826,-0.5244119674629194,-1.0284068910648565,-1.0148666313910268,-0.7291067157095978,-0.9701890115297882,-0.6849100515918989,-0.7018259979094984,-0.6733294786556001,-0.6568716479786134,-0.5257838493494635,-0.8406946265219422,-0.5530325245896092,-0.7400592867894666
-0.5140538964306643,-0.8027951571328236,-0.788534962369484,-0.1527832670946157,-0.5248573735134574,-1.0281961516157216,-1.014139592193051,-0.7313839960966487,-0.9711251283702966,-0.6844781161549756,-0.7032009483455156,-0.6728018957088259,-0.6569943827896678,-0.525089182392268,-0.8346908155158964,-0.5532051234553491,-0.7404986741197135
-0.5215130729295536,-0.8044716214755588,-0.7885691835475617,-0.1522530471972906,-0.525206105550257,-1.0296103238814438,-1.0135331020528375,-0.7320177457505477,-0.972649201381376,-0.6843397302362162,-0.7050171763238403,-0.6724585744358069,-0.657197538316364,-0.5242709363970113,-0.8325173899770137,-0.5533811019008785,-0.7408618163705893
-0.525003811157555,-0.8045053314114157,-0.7850550550167977,-0.1525334081780471,-0.5253585195641868,-1.031220509989857,-1.0135158109494262,-0.7318772056769871,-0.9745347094753674,-0.6844147417850625,-0.7065489294091469,-0.6722534450728357,-0.657362625703908,-0.5233458907419664,-0.8343533406698229,-0.5535460715011066,-0.7411087748228404
-0.5277930286344963,-0.8045240814690209,-0.7788808638906215,-0.1529328685275744,-0.5254107266985162,-1.0319699629661157,-1.0135329931548935,-0.7316381036304904,-0.976779128719048,-0.6844131399304387,-0.7075798961024108,-0.6720560760072561,-0.6573543104066022,-0.5223832496426127,-0.835711343403432,-0.5537111619690485,-0.7412549628604357
-0.5300571088018363,-0.8045137242420282,-0.7726783658035375,-0.153351631321057,-0.5254632696101778,-1.032157429019059,-1.0133747853132766,-0.7315893237684602,-0.979227206242973,-0.6810336223409406,-0.7077451755858312,-0.6717124732855575,-0.6573067374959817,-0.521332642607079,-0.8373743331549554,-0.5538185984118467,-0.7421507584772734
